,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
181,Hambantota,36,LK,1536099406,98,6.12,81.12,26.69,5.56
182,Yumen,36,CN,1536099464,53,40.29,97.04,11.09,2.56
183,Necochea,0,AR,1536099274,41,-38.55,-58.74,20.19,6.06
184,Sorong,48,ID,1536099403,100,-0.86,131.25,25.14,3.86
185,Souillac,0,FR,1536096600,56,45.6,-0.6,21.0,4.1
186,Mount Isa,0,AU,1536098400,21,-20.73,139.49,16.0,2.6
187,Comodoro Rivadavia,0,AR,1536098400,30,-45.87,-67.48,14.0,0.5
188,Chuy,0,UY,1536099406,87,-33.69,-53.46,13.49,2.51
189,Xinyang,0,CN,1536099466,81,32.13,114.07,19.64,1.36
190,Mogadishu,88,SO,1536099466,100,2.04,45.34,25.14,6.56
191,Vestmanna,80,FO,1536097800,100,62.16,-7.17,10.0,6.2
192,Yunhe,0,CN,1536099466,93,28.12,119.57,17.34,0.76
193,Port Elizabeth,20,US,1536098160,55,39.31,-74.98,33.9,2.1
194,Vardo,1,US,1536097980,55,39.62,-77.74,34.0,1.41
195,Castro,80,CL,1536099467,85,-42.48,-73.76,11.59,1.61
196,Oriximina,36,BR,1536099467,46,-1.77,-55.87,33.34,1.51
197,San Patricio,0,PY,1536099406,69,-26.98,-56.83,18.19,1.56
198,Peachland,1,CA,1536094800,34,49.77,-119.75,22.0,6.7
199,Vaitape,44,PF,1536099468,100,-16.52,-151.75,25.04,8.36
200,Kanadukathan,20,IN,1536098400,65,10.18,78.78,28.0,3.1
201,San Cristobal,75,EC,1536098400,58,-0.39,-78.55,15.0,9.3
202,Lima,8,PE,1536099401,64,-12.06,-77.04,19.39,1.21
203,Lompoc,1,US,1536098160,70,34.64,-120.46,22.8,7.2
204,Port Lincoln,92,AU,1536099131,82,-34.72,135.86,13.44,8.31
205,Guerrero Negro,0,MX,1536099404,54,27.97,-114.04,28.49,4.06
206,Esperance,20,TT,1536098400,79,10.24,-61.45,29.0,2.6
